date,year,month,month_name,quarter,day,weekday_name,week_of_year,is_weekend
2015-01-01,2015,1,January,1,1,Thursday,1,0
2015-01-02,2015,1,January,1,2,Friday,1,0
2015-01-03,2015,1,January,1,3,Saturday,1,1
2015-01-04,2015,1,January,1,4,Sunday,1,1
2015-01-05,2015,1,January,1,5,Monday,2,0
2015-01-06,2015,1,January,1,6,Tuesday,2,0
2015-01-07,2015,1,January,1,7,Wednesday,2,0
2015-01-08,2015,1,January,1,8,Thursday,2,0
2015-01-09,2015,1,January,1,9,Friday,2,0
2015-01-10,2015,1,January,1,10,Saturday,2,1
2015-01-11,2015,1,January,1,11,Sunday,2,1
2015-01-12,2015,1,January,1,12,Monday,3,0
2015-01-13,2015,1,January,1,13,Tuesday,3,0
2015-01-14,2015,1,January,1,14,Wednesday,3,0
2015-01-15,2015,1,January,1,15,Thursday,3,0
2015-01-16,2015,1,January,1,16,Friday,3,0
2015-01-17,2015,1,January,1,17,Saturday,3,1
2015-01-18,2015,1,January,1,18,Sunday,3,1
2015-01-19,2015,1,January,1,19,Monday,4,0
2015-01-20,2015,1,January,1,20,Tuesday,4,0
2015-01-21,2015,1,January,1,21,Wednesday,4,0
2015-01-22,2015,1,January,1,22,Thursday,4,0
2015-01-23,2015,1,January,1,23,Friday,4,0
2015-01-24,2015,1,January,1,24,Saturday,4,1
2015-01-25,2015,1,January,1,25,Sunday,4,1
2015-01-26,2015,1,January,1,26,Monday,5,0
2015-01-27,2015,1,January,1,27,Tuesday,5,0
2015-01-28,2015,1,January,1,28,Wednesday,5,0
2015-01-29,2015,1,January,1,29,Thursday,5,0
2015-01-30,2015,1,January,1,30,Friday,5,0
2015-01-31,2015,1,January,1,31,Saturday,5,1
2015-02-01,2015,2,February,1,1,Sunday,5,1
2015-02-02,2015,2,February,1,2,Monday,6,0
2015-02-03,2015,2,February,1,3,Tuesday,6,0
2015-02-04,2015,2,February,1,4,Wednesday,6,0
2015-02-05,2015,2,February,1,5,Thursday,6,0
2015-02-06,2015,2,February,1,6,Friday,6,0
2015-02-07,2015,2,February,1,7,Saturday,6,1
2015-02-08,2015,2,February,1,8,Sunday,6,1
2015-02-09,2015,2,February,1,9,Monday,7,0
2015-02-10,2015,2,February,1,10,Tuesday,7,0
2015-02-11,2015,2,February,1,11,Wednesday,7,0
2015-02-12,2015,2,February,1,12,Thursday,7,0
2015-02-13,2015,2,February,1,13,Friday,7,0
2015-02-14,2015,2,February,1,14,Saturday,7,1
2015-02-15,2015,2,February,1,15,Sunday,7,1
2015-02-16,2015,2,February,1,16,Monday,8,0
2015-02-17,2015,2,February,1,17,Tuesday,8,0
2015-02-18,2015,2,February,1,18,Wednesday,8,0
2015-02-19,2015,2,February,1,19,Thursday,8,0
2015-02-20,2015,2,February,1,20,Friday,8,0
2015-02-21,2015,2,February,1,21,Saturday,8,1
2015-02-22,2015,2,February,1,22,Sunday,8,1
2015-02-23,2015,2,February,1,23,Monday,9,0
2015-02-24,2015,2,February,1,24,Tuesday,9,0
2015-02-25,2015,2,February,1,25,Wednesday,9,0
2015-02-26,2015,2,February,1,26,Thursday,9,0
2015-02-27,2015,2,February,1,27,Friday,9,0
2015-02-28,2015,2,February,1,28,Saturday,9,1
2015-03-01,2015,3,March,1,1,Sunday,9,1
2015-03-02,2015,3,March,1,2,Monday,10,0
2015-03-03,2015,3,March,1,3,Tuesday,10,0
2015-03-04,2015,3,March,1,4,Wednesday,10,0
2015-03-05,2015,3,March,1,5,Thursday,10,0
