pizza_key,name,size,category,price
1,hawaiian,M,classic,13.25
2,classic_dlx,M,classic,16
3,mexicana,M,veggie,16
4,thai_ckn,L,chicken,20.75
5,five_cheese,L,veggie,18.5
6,ital_supr,L,supreme,20.75
7,prsc_argla,L,supreme,20.75
8,ital_supr,M,supreme,16.5
9,bbq_ckn,S,chicken,12.75
10,the_greek,S,classic,12
11,spinach_supr,S,supreme,12.5
12,mexicana,S,veggie,12
13,spin_pesto,L,veggie,20.75
14,spicy_ital,L,supreme,20.75
15,ital_cpcllo,L,classic,20.5
16,veggie_veg,S,veggie,12
17,green_garden,S,veggie,12
18,classic_dlx,S,classic,12
19,ital_supr,S,supreme,12.5
20,mexicana,L,veggie,20.25
21,southw_ckn,L,chicken,20.75
22,pepperoni,L,classic,15.25
23,cali_ckn,L,chicken,20.75
24,cali_ckn,M,chicken,16.75
25,bbq_ckn,L,chicken,20.75
26,cali_ckn,S,chicken,12.75
27,ckn_pesto,L,chicken,20.75
28,big_meat,S,classic,12
29,soppressata,L,supreme,20.75
30,four_cheese,L,veggie,17.95
31,napolitana,S,classic,12
32,mediterraneo,M,veggie,16
33,four_cheese,M,veggie,14.75
34,spinach_fet,L,veggie,20.25
35,ital_veggie,S,veggie,12.75
36,calabrese,M,supreme,16.25
37,peppr_salami,S,supreme,12.5
38,napolitana,L,classic,20.5
39,sicilian,L,supreme,20.25
40,ital_cpcllo,M,classic,16
41,southw_ckn,S,chicken,12.75
42,pepperoni,M,classic,12.5
43,prsc_argla,S,supreme,12.5
44,bbq_ckn,M,chicken,16.75
45,sicilian,M,supreme,16.25
46,veggie_veg,L,veggie,20.25
47,ckn_alfredo,S,chicken,12.75
48,pepperoni,S,classic,9.75
49,green_garden,L,veggie,20.25
50,pep_msh_pep,L,classic,17.5
51,green_garden,M,veggie,16
52,hawaiian,S,classic,10.5
53,peppr_salami,M,supreme,16.5
54,peppr_salami,L,supreme,20.75
55,ckn_alfredo,M,chicken,16.75
56,spin_pesto,S,veggie,12.5
57,thai_ckn,M,chicken,16.75
58,classic_dlx,L,classic,20.5
59,ckn_pesto,M,chicken,16.75
60,the_greek,XL,classic,25.5
61,hawaiian,L,classic,16.5
62,pep_msh_pep,S,classic,11
63,spinach_supr,M,supreme,16.5
64,prsc_argla,M,supreme,16.5
65,southw_ckn,M,chicken,16.75
66,mediterraneo,L,veggie,20.25
67,pep_msh_pep,M,classic,14.5
68,sicilian,S,supreme,12.25
69,spicy_ital,S,supreme,12.5
70,thai_ckn,S,chicken,12.75
71,spinach_supr,L,supreme,20.75
72,ital_veggie,L,veggie,21
73,veggie_veg,M,veggie,16
74,the_greek,M,classic,16
75,ckn_pesto,S,chicken,12.75
76,spinach_fet,S,veggie,12
77,spicy_ital,M,supreme,16.5
78,ital_veggie,M,veggie,16.75
79,ital_cpcllo,S,classic,12
80,mediterraneo,S,veggie,12
81,spinach_fet,M,veggie,16
82,napolitana,M,classic,16
83,spin_pesto,M,veggie,16.5
84,brie_carre,S,supreme,23.65
85,ckn_alfredo,L,chicken,20.75
86,calabrese,S,supreme,12.25
87,the_greek,L,classic,20.5
88,soppressata,M,supreme,16.5
89,soppressata,S,supreme,12.5
90,calabrese,L,supreme,20.25
91,the_greek,XXL,classic,35.95
